specification,clip,term,abs_smd
reduced,0.01,ninsclas_Medicare,0.048293850772085575
reduced,0.01,ninsclas_Medicare & Medicaid,0.020044973997229668
reduced,0.01,ninsclas_No insurance,0.0019045339978801
reduced,0.01,ninsclas_Private,0.017061114932799628
reduced,0.01,ninsclas_Private & Medicare,0.01950055226636513
reduced,0.01,resp_Yes,0.0133085469052635
reduced,0.01,card_Yes,0.006378841149988006
reduced,0.01,neuro_Yes,0.02905364619493145
reduced,0.01,gastr_Yes,0.01025207417712486
reduced,0.01,renal_Yes,0.0017659540436819785
reduced,0.01,meta_Yes,0.0054356396307454445
reduced,0.01,hema_Yes,0.0189917882962112
reduced,0.01,seps_Yes,0.0241707729832582
reduced,0.01,trauma_Yes,0.013140302989197196
reduced,0.01,ortho_Yes,0.005418764210704812
reduced,0.01,race_other,0.010108504604592568
reduced,0.01,race_white,0.007453461582075
reduced,0.01,income_$25-$50k,0.02432918209053457
reduced,0.01,income_> $50k,0.0030620105679887745
reduced,0.01,income_Under $11k,0.0030711178169861904
reduced,0.02,cardiohx,0.010799664168815178
reduced,0.02,chfhx,0.0049186905003358785
reduced,0.02,dementhx,0.05488591171827682
reduced,0.02,psychhx,0.01276088901365422
reduced,0.02,chrpulhx,0.02247491662950279
reduced,0.02,renalhx,0.017351983124153765
reduced,0.02,liverhx,0.001728446674908491
reduced,0.02,gibledhx,0.013137433944542453
reduced,0.02,malighx,0.013814182195983278
reduced,0.02,immunhx,0.0006080835788953685
reduced,0.02,transhx,0.020169903066245814
reduced,0.02,amihx,0.0038420630067065135
reduced,0.02,age,0.0051285695212866566
reduced,0.02,edu,0.008581521209634908
reduced,0.02,surv2md1,0.004991474758497441
reduced,0.02,das2d3pc,0.04642110212758752
reduced,0.02,aps1,0.02101121038939117
reduced,0.02,scoma1,0.005893624804870963
reduced,0.02,meanbp1,0.00368071965431051
reduced,0.02,wblc1,0.04929731399006737
reduced,0.02,hrt1,0.044493678975409394
reduced,0.02,resp1,0.029659140950366075
reduced,0.02,temp1,0.023225097386872933
reduced,0.02,pafi1,0.007181611595657934
reduced,0.02,alb1,0.011666294588976922
reduced,0.02,hema1,0.017783129642417246
reduced,0.02,bili1,0.006933376143012734
reduced,0.02,crea1,0.02610838624098982
reduced,0.02,sod1,0.016093395725358735
reduced,0.02,pot1,0.027570601460622655
reduced,0.02,paco21,0.03464669892604643
reduced,0.02,ph1,0.033389536405544755
reduced,0.02,wtkilo1,0.019243688865631256
reduced,0.02,adld3p,0.1657043473778027
reduced,0.02,urin1,0.08480968479052181
reduced,0.02,cat1_CHF,0.006162853871399298
