gene,n,mean_difference,ci_low,ci_high,p_value,q_value,sd_difference,median_difference,missing_pairs,status
CASP10,72,0.418285986541513,0.3137390691684541,0.5228329039145718,1.8397227926585076e-11,4.6364915708948336e-11,0.444902310178529,0.48607162191499476,0,tested
CASP14,72,0.10578019921440157,-0.08512993331641114,0.2966903317452143,0.2729712407955624,0.30696955134707077,0.8124233706132717,-0.0122045882644046,0,tested
CASP2,72,0.2897119933941872,0.20938186684886395,0.3700421199395104,5.231522501909109e-10,1.1989562537519792e-09,0.3418470843039666,0.31925120821596487,0,tested
CASP3,72,0.6834403075566066,0.5872161019483935,0.7796645131648197,2.267680125861746e-22,1.3210765194013818e-21,0.40948477913916703,0.6452079220241698,0,tested
CASP4,72,1.3180588548877221,1.2010681944143937,1.4350495153610505,5.451255294866516e-34,1.303844269583482e-32,0.4978570045079931,1.30748258791502,0,tested
CASP5,72,0.6609137823424129,0.5859995924106352,0.7358279722741907,1.3724173449385848e-27,1.3895908314167833e-26,0.3187994156429316,0.5589351885615246,0,tested
CASP6,72,-0.1459733968344461,-0.21538900205111838,-0.0765577916177738,7.824769036596176e-05,0.00012532680528207235,0.2954000356905469,-0.1778680262401453,0,tested
CASP7,72,0.45501407692744306,0.3802678844302835,0.5297602694246026,5.474842300970174e-19,2.3909996865628813e-18,0.3180844978945776,0.49382177924875026,0,tested
CASP8,72,0.8351433094216864,0.754521185038932,0.9157654338044408,9.707020860444709e-32,1.6980588929287595e-30,0.34308968921001737,0.8125129553668899,0,tested
CASP8AP2,72,0.19830698475188657,0.1325622221249303,0.26405174737884285,7.101295493679077e-08,1.4019013061909017e-07,0.2797786631096731,0.19575819760010993,0,tested
CASP9,72,-0.5635748256809971,-0.6286005232371901,-0.4985491281248043,3.8273792228109725e-27,3.6942952244543473e-26,0.2767186617323989,-0.566174136151095,0,tested
CASQ1,72,0.0009230967144165504,-0.04329555167810524,0.045141745106938344,0.9669144541927854,0.9706920620070649,0.188173686198754,-0.010586709970217004,0,tested
CASQ2,72,0.20130647804019297,-0.0406067304498641,0.44321968653025,0.10147737400926189,0.12151850033289972,1.0294683767276869,-0.02265684912196997,0,tested
CASR,72,-3.0755732145461425,-3.194089089126497,-2.9570573399657882,4.09490868574656e-58,2.6849892641196843e-55,0.5043475954960686,-3.0340192221387228,0,tested
CASS4,72,0.7996321038085809,0.6865627488025219,0.9127014588146398,2.8447984489195893e-22,1.6377185136604902e-21,0.48116978019626516,0.725152227671332,0,tested
CAST,72,0.5804805424522583,0.49455480207193164,0.6664062828325851,3.066930246817298e-21,1.615895778421472e-20,0.36565937437060325,0.5138778593892197,0,tested
CASZ1,72,-1.277742410679914,-1.368218515913617,-1.187266305446211,2.932523180545697e-40,1.852555756746725e-38,0.38502357836906637,-1.2721196077281092,0,tested
CAT,72,-1.1197158718609428,-1.2782193694572712,-0.9612123742646144,3.013601961062874e-22,1.729138240483119e-21,0.6745160357081521,-1.1555495540053755,0,tested
CATIP,72,-0.963173216884412,-1.1013257211964456,-0.8250207125723786,6.008643152345787e-22,3.360422045348681e-21,0.5879118186339932,-0.960548648072375,0,tested
CATSPER1,72,0.1581591221047773,0.10579646392450068,0.21052178028505394,6.865673839109927e-08,1.3573589940806328e-07,0.2228307460120009,0.12333768353372476,0,tested
CATSPER2,72,-0.26625452879546874,-0.32682229046079037,-0.2056867671301471,6.376043920854706e-13,1.7722624638949312e-12,0.2577477917506553,-0.25260641274357,0,tested
CATSPER3,72,0.03863922645774566,-0.061991554632236046,0.13927000754772736,0.44644317989807075,0.4812151842731033,0.4282370834736814,-0.023245413855974895,0,tested
CATSPER4,72,-0.016150093556962626,-0.0217849285180236,-0.01051525859590165,2.3931834803038603e-07,4.563873621299559e-07,0.02397919665775622,0.0,0,tested
CATSPERB,72,-0.01841809868436857,-0.1553065536169551,0.11847035624821796,0.7892605555427294,0.8097436853159059,0.582532621396748,-0.15269781486211048,0,tested
CATSPERD,72,0.002506223493858244,-0.003974755175031033,0.00898720216274752,0.4432258331542535,0.47815381921185357,0.02757998470406974,0.0,0,tested
CATSPERG,72,0.01631976566387169,-0.04051829818115536,0.07315782950889874,0.5687811554459735,0.6014555483708812,0.24187595910162787,-0.019599962193527,0,tested
CAV1,72,2.690292117163392,2.49546174833915,2.8851224859876337,1.2684961891899733e-39,7.278544707149818e-38,0.829106045026031,2.781278392142375,0,tested
CAV2,72,2.1562550178569,1.994965255483871,2.3175447802299294,1.0327766670417483e-38,5.03544828815355e-37,0.6863730628407633,2.2238058585828355,0,tested
CAV3,72,-0.028615512350889036,-0.049219115159194485,-0.008011909542583583,0.007162284283140035,0.009746714065977798,0.08767920391862362,-0.029019429015019554,0,tested
CBARP,72,-0.5476429710184013,-0.6252163695211327,-0.47006957251566994,3.119036480567284e-22,1.7869381945762855e-21,0.330115751563599,-0.461475730902326,0,tested
CBFA2T2,72,-0.23135619651048678,-0.28609084039861876,-0.17662155262235482,2.6870831834169146e-12,7.138151261898943e-12,0.23292479706249347,-0.25403496034117,0,tested
CBFA2T3,72,0.028085162364701606,-0.007963517597552983,0.0641338423269562,0.12475949821730835,0.14777014193360646,0.1534061586614169,0.04637791023037801,0,tested
CBFB,72,0.7103263503048998,0.6138115931636273,0.8068411074461722,3.4221006460565485e-23,2.1726625637651177e-22,0.4107212292567996,0.74673759543944,0,tested
CBL,72,0.4367880373251023,0.3598817391132335,0.5136943355369711,1.440694408766715e-17,5.602209444314741e-17,0.3272768877502696,0.44355441534741513,0,tested
CBLB,72,0.5088923408979887,0.43547021182917817,0.5823144699667993,8.155723474913085e-22,4.5094818806476395e-21,0.3124499092056223,0.49417487333356,0,tested
CBLC,72,-1.6280959301047164,-1.7920128743073784,-1.4641789859020544,1.241124777659596e-30,1.8408726713882384e-29,0.6975531080743487,-1.7441715118868863,0,tested
CBLL1,72,0.018958653027855828,-0.04875969212093397,0.08667699817664562,0.5784428089364332,0.6106873583880005,0.2881772983382806,-0.02572471660491993,0,tested
CBLN1,72,0.23525885210919883,0.1415261805387733,0.32899152367962436,3.9158447972298725e-06,6.8823171105763955e-06,0.398881986850757,0.11076472562226636,0,tested
CBLN2,72,-0.22026789261865398,-0.3396156425051198,-0.1009201427321882,0.0004507555383784543,0.0006803553391225836,0.5078876639626388,-0.15855247389180846,0,tested
CBLN3,72,0.7435813212795874,0.639687010549927,0.8474756320092478,1.5145619603641269e-22,8.971774353994976e-22,0.44212512448447544,0.8138932890472299,0,tested
CBLN4,72,0.4286808788760839,0.20487859655771123,0.6524831611944566,0.0002837197519804056,0.0004347595361356606,0.9523968274585397,0.25446657626729596,0,tested
CBR1,72,-0.7917081027629171,-0.9209171512981013,-0.662499054227733,3.993055754850857e-19,1.7600360495709096e-18,0.5498526942133134,-0.7930448257195604,0,tested
CBR3,72,0.4660213620427738,0.28635786607139496,0.6456848580141525,2.051984857507854e-06,3.674801435413612e-06,0.7645629964123214,0.43252751033519,0,tested
CBR4,72,-0.753445943988711,-0.8298698867338742,-0.6770220012435478,1.942964899362709e-30,2.805275441259067e-29,0.3252242106665561,-0.7254903924811948,0,tested
CBS,72,-0.12834617773482815,-0.18493528025461872,-0.07175707521503757,2.3917877048812832e-05,3.984217539055418e-05,0.24081649726835766,-0.13573605439526915,0,tested
CBSL,72,-0.06420026698335873,-0.09195526575003277,-0.0364452682166847,1.7179265422865228e-05,2.8921091811932917e-05,0.11811216801575035,-0.049324013029955045,0,tested
CBWD1,72,-0.12188502516789097,-0.23007443632180444,-0.013695614013977508,0.02779321472433438,0.03560040269337947,0.4604030436160386,-0.13130703545110012,0,tested
