gene,n,mean_difference,ci_low,ci_high,p_value,q_value,sd_difference,median_difference,missing_pairs,status
ABHD4,72,-0.17897322768950705,-0.23883931780169226,-0.11910713757732182,8.828921649972974e-08,1.7173433678592256e-07,0.25476180897066575,-0.20365399274434984,0,tested
ABHD5,72,0.39091879826270415,0.28735837571696965,0.49447922080843865,1.2582769898829445e-10,2.985878202340488e-10,0.44070425404560953,0.3469731492779516,0,tested
ABHD6,72,-0.7145200734511549,-0.830300627707597,-0.5987395191947127,2.821820375218719e-19,1.2145570066310343e-18,0.4927073638970416,-0.822517559842801,0,tested
ABI1,45,0.25095717059501815,0.13930904895943325,0.36260529223060306,4.4731742994366216e-05,7.086587359268534e-05,0.37162370681621654,0.2472544043850035,27,tested
ABI1.1,1,-0.434440312117999,,,,,,-0.434440312117999,71,insufficient_pairs
ABI2,72,-0.17923963776401813,-0.23890506560806465,-0.11957420991997161,7.84547710947442e-08,1.531692388389898e-07,0.25390788511615353,-0.1804193487685508,0,tested
ABI3,72,0.8395702809779476,0.7535663126200319,0.9255742493358633,3.512995126865123e-30,5.49857723991229e-29,0.3659922757016461,0.8501096041824014,0,tested
ABL1,72,-0.026680783537227543,-0.08037179268182065,0.02701022560736557,0.32512157664788854,0.3577086060432356,0.22848358042933178,-0.05683377270925226,0,tested
ABL2,71,0.2711673178110449,0.2026331415048255,0.33970149411726436,2.8960348766225295e-11,7.195621079037602e-11,0.2895449702220198,0.25228190230660597,1,tested
ABLIM1,72,-0.8431007007092379,-0.9384236382490542,-0.7477777631694217,1.1848333181136233e-27,1.2093013917226838e-26,0.40564940784563525,-0.858444132951748,0,tested
ABLIM1.1,72,-0.7373808275792872,-0.8423882586810751,-0.6323733964774993,4.1241744884994264e-22,2.243917713834856e-21,0.4468620391397321,-0.6989955811949035,0,tested
ABLIM2,15,-0.47404792149725294,,,,,0.553960567822776,-0.4552279705416,57,insufficient_pairs
ABLIM2.1,2,0.902178946100648,,,,,0.8562531026883463,0.902178946100648,70,insufficient_pairs
ABLIM3,50,1.1589126226278765,0.9702633202169382,1.347561925038815,1.1817927081121056e-16,4.2270681784273635e-16,0.6637979934080337,1.0835772725219475,22,tested
ABLIM3.1,48,1.087225565850609,0.8575830258506724,1.3168681058505456,1.5066061420481803e-12,4.0864502360555265e-12,0.790862527536666,1.106203860982049,24,tested
ABO,35,-0.2303061101738235,-0.42671819846379316,-0.03389402188385382,0.0229071908305299,0.02879144922517417,0.5717764665427877,-0.183006695794003,37,tested
