gene,n_four_finite,protein_mean,rna_mean,same_direction
AGPAT3,72,-1.0490765327281224,-1.1473083103449397,True
AGPAT4,33,-0.24896486328032355,-0.33575118233152157,True
AGPAT5,72,-0.3730058111083118,0.4220610105436172,False
AGPS,72,-0.11230522551179717,0.3503353731150834,False
AGR2,72,-0.9311363908098207,-1.0521903210683738,True
AGR3,42,-0.4639387510615777,-0.605401228093759,True
AGRN,72,-0.1568258963797945,0.3977688824265452,False
AGT,72,0.03923594158504207,-0.08014978235773358,False
AGTPBP1,69,0.13670686718724823,0.12199308109258868,True
AGXT,72,-1.2906837428802496,-3.1161837825798346,True
AGXT2,72,-1.4273368482205164,-2.1337372502013108,True
AHCTF1,72,0.07895990957096309,0.07099401070376914,True
AHCY,58,0.5054983679084614,-1.1314945682201238,False
AHCYL1,72,-0.2546627065005462,-0.660544529771832,True
AHCYL2,70,-0.32865053245851206,-1.035761899067257,True
AHDC1,72,0.2406825272744771,-0.022064086418778477,False
AHNAK,72,0.6225533417268839,0.8141616195642991,True
AHNAK2,72,2.1089932739345123,3.3079991501553234,True
AHR,72,0.8907763197745129,1.256550932129224,True
AHSA1,72,-0.3506350659841597,-0.39976114794189843,True
AHSG,35,-0.06334838354311167,-0.7072838291135239,True
AHSP,72,0.9900231201553462,0.1511346121361661,True
AIDA,72,0.4065583704206166,0.5356401043319563,True
AIF1,72,0.6468445017037845,1.4095831810347617,True
AIF1L,72,-1.7772450571598928,-2.871646232422199,True
AIFM1,72,-1.2515311634618187,-1.4486116461551406,True
AIFM2,72,0.5713877288753131,-0.03948507318808978,False
AIG1,68,0.14519309598832145,-0.23912810525804573,False
AIMP1,72,-0.1800488279900431,0.16595784621818957,False
AIP,72,0.026901474564693054,0.23789744016298048,True
AJUBA,46,0.22341172208123683,-0.319753047003915,False
AK1,72,-0.40985008447954485,-0.6405091161533496,True
AK2,72,-0.8816406906948766,-0.19869092612506534,True
AK3,72,-1.2867209922197125,-1.1137584723428327,True
AK4,72,-1.4354029749299722,-1.2356763261906387,True
AK6,72,0.4782971450805322,-0.08171379594434836,False
AK7,35,-0.2116407688928319,-0.6425902694770237,True
AKAP1,72,-0.18078602303214156,-0.6073031176655636,True
AKAP10,72,-0.13174788528595613,0.19430249929680607,False
AKAP11,72,0.04086269996527894,-0.2810461897545584,False
AKAP12,72,0.3459233627915386,0.4000997761298676,True
AKAP13,72,0.36152042532162554,0.44466635461840887,True
AKAP17A,72,-0.11727582224175562,0.13817345633841752,False
AKAP5,30,-0.8741135982769099,-0.39395375820948325,True
AKAP7,72,0.11539417761840808,0.32698118473570287,True
AKAP8,72,0.07428495441937365,0.6386002238548245,True
AKAP8L,72,-0.1426626463470152,-0.1333030186970491,True
AKAP9,44,-0.012529770813631547,0.022187468047473523,False
AKNA,57,0.5860025381529175,1.209499819824373,True
AKR1A1,72,-0.899232837842046,-0.8830570574984822,True
AKR1B1,72,0.6835596177825374,0.9709976618672962,True
AKR1B10,72,0.18601510079769434,-0.405484080036235,False
AKR1B15,45,1.220906527352826,0.04665911526948727,True
AKR1C1,72,-0.4375283142057177,-0.3182426004911983,True
AKR1C2,72,-0.25578468700460877,-0.05352691071757668,True
AKR1C3,72,0.01369508211785818,0.44519797117278537,True
AKR1C4,69,-0.027877422931373127,0.1423148663500244,False
AKR7A2,72,-0.28594090573138364,-0.4401240332072089,True
AKR7A3,72,-1.1740544201363983,-2.2411984718077043,True
AKT1,72,0.22607110165340188,0.20397438297961024,True
AKT2,72,0.008964477446638482,-0.3584873053881625,False
AKT3,72,0.14301942081111593,0.0019649824859683807,True
AKTIP,72,0.11092546498297523,-0.07739054139392484,False
ALAD,63,-0.8008157184415905,-1.9519558342701562,True
ALAS1,72,-0.2548454055533527,-1.0011224975351334,True
ALB,72,0.1999152124215076,-5.267497737274016,False
ALCAM,72,-0.2965883728955411,0.1998785533421436,False
ALDH16A1,72,-0.19575513035603875,-0.05687121669883583,True
ALDH18A1,68,0.19470040910577494,0.5589697535417031,True
ALDH1A1,72,0.5535240262712487,0.174222525155909,True
ALDH1A2,72,-1.1972508212716617,-2.3404221516564103,True
ALDH1A3,72,-0.24415194424444023,-0.06738910672060451,True
ALDH1B1,72,-1.3380797287250847,-1.9842290713281256,True
ALDH1L1,72,-1.2762772330276715,-2.465437575857177,True
ALDH1L2,72,0.32025627439828497,0.4851950777439222,True
ALDH2,72,-1.342081565552357,-1.313384823626951,True
ALDH3A1,30,0.40294286946982655,0.06967603015538239,True
ALDH3A2,72,-1.0187278150482793,-0.9203363609653962,True
ALDH3B1,72,0.26705613280779317,0.062894497978216,True
ALDH5A1,72,-1.3417499547572989,-1.3507385402976257,True
ALDH6A1,72,-1.8490256607774702,-3.4425858935706564,True
ALDH8A1,72,-1.4718435194169541,-2.0697716592384143,True
ALDH9A1,72,-0.6419105835371801,-0.7565804071146247,True
ALDOB,72,-2.1921628707037266,-6.93176070447321,True
ALDOC,72,1.361921706764386,2.894095062005394,True
ALG1,72,0.013375566884168176,0.07942518139805155,True
ALG10B,30,0.15245411314651727,0.009374777649678001,True
ALG11,72,-0.15478676314070905,-0.18979865653576822,True
ALG12,72,0.2197072436576452,-0.1151307798396492,False
ALG13,72,-0.20865005913077342,0.36894484660179144,False
ALG14,69,0.004339323536089719,-0.06349108701698163,False
ALG2,72,0.07713243288805283,0.0160658090291591,True
ALG3,53,-0.16944955141514725,0.09325120802576849,False
