gene,n_all,mean_difference_all,sd_difference_all,tumor_nonfinite_all,normal_nonfinite_all,status_all,ci95_low_all,ci95_high_all,t_all,p_all,q_all,finite_fraction_all,abs_effect_rank_all,n_early,mean_difference_early,sd_difference_early,tumor_nonfinite_early,normal_nonfinite_early,status_early,ci95_low_early,ci95_high_early,t_early,p_early,q_early,finite_fraction_early,abs_effect_rank_early
CPLX1,72,0.016443266289375615,0.30668004286015094,0,0,tested,-0.05562301066027753,0.08850954323902877,0.4549553987134042,0.6505294371525632,0.6796602883217576,1.0,17183.0,37,0.1125868524695245,0.316626298162613,0,0,tested,0.00701838869049215,0.21815531624855686,2.162925478963587,0.03726526553992111,0.05006907925043385,1.0,13430.0
CPLX2,72,0.007577115822409087,0.060819329070107175,0,0,tested,-0.006714725837001189,0.021868957481819364,1.0571303686073839,0.29403572777670417,0.32894565886180094,1.0,17809.0,37,-0.003747695208556072,0.0481740624704308,0,0,tested,-0.019809727321841306,0.012314336904729163,-0.4732077558037672,0.6389218340230653,0.6770044530024246,1.0,18175.0
CPLX3,72,0.03514817961021955,0.05783773092086147,0,0,tested,0.02155697916623423,0.04873938005420487,5.156533443420668,2.1790162340214164e-06,3.897102491527204e-06,1.0,16218.0,37,0.03807153441258499,0.062201241906157646,0,0,tested,0.017332607825354344,0.05881046099981564,3.7230784450447736,0.000670659109170123,0.0011293080254565011,1.0,16084.0
CPLX4,72,-0.004515017410321739,0.010720410065759014,0,0,tested,-0.007034190270764903,-0.0019958445498785755,-3.573668628454041,0.0006376513669489396,0.0009509011640290241,1.0,18112.0,37,-0.004464868365879759,0.011824223928258035,0,0,tested,-0.008407260904747114,-0.0005224758270124044,-2.2968724343744995,0.027550193184174128,0.037696173616800756,1.0,18084.0
CPM,72,-0.9827269883485555,0.7658060158152302,0,0,tested,-1.1626825795593518,-0.8027713971377591,-10.888808442329454,8.557576503088679e-17,3.12867366287697e-16,1.0,2618.0,37,-0.8262771775338553,0.8415857088389839,0,0,tested,-1.1068758231172697,-0.5456785319504409,-5.97211644916978,7.571857205501914e-07,1.7871434869237424e-06,1.0,3476.0
CPN1,72,0.004257822939318553,0.4664686639661606,0,0,tested,-0.1053569391175967,0.1138725849962338,0.07745177430487883,0.9384820088209855,0.945643336215942,1.0,18144.0,37,0.0051648208369729645,0.3866492158738372,0,0,tested,-0.12375044608190168,0.13408008775584762,0.08125292221746994,0.9356908739432589,0.9454881607263604,1.0,18001.0
CPN2,72,-2.4576727877113935,1.655212895784383,0,0,tested,-2.8466287492593376,-2.0687168261634494,-12.599010787466115,8.882565978843915e-20,4.1417849947944346e-19,1.0,380.0,37,-2.84018805982739,1.4560662665670052,0,0,tested,-3.3256647236861987,-2.3547113959685815,-11.864974765228812,5.334528590464675e-14,3.529297246891897e-13,1.0,264.0
CPNE1,72,0.14135022706037964,0.2770417611540598,0,0,tested,0.07624860486237918,0.20645184925838012,4.329298384198695,4.817495375504078e-05,7.837497823854385e-05,1.0,12605.0,37,0.07313517148241436,0.19440658645009262,0,0,tested,0.008316788425926702,0.137953554538902,2.2883169179783365,0.028095024309966278,0.03838611563298268,1.0,14711.0
CPNE2,72,1.1514457396522675,0.46891988204618446,0,0,tested,1.0412549695859248,1.2616365097186102,20.83584309857744,5.694986011458449e-32,1.0283965717747619e-30,1.0,2027.0,37,1.2486114597684848,0.45997400620115103,0,0,tested,1.095248490568738,1.4019744289682314,16.511817841852853,2.236194629718853e-18,4.0827819904567663e-17,1.0,1843.0
CPNE3,72,-0.1414617671136809,0.37755848852966467,0,0,tested,-0.23018366223705847,-0.052739871990303305,-3.1792237073813796,0.002188660703821866,0.003123255781101147,1.0,12602.0,37,-0.19450661596161808,0.30077625441674355,0,0,tested,-0.29479041204629947,-0.09422281987693669,-3.933613568533665,0.00036577146428514297,0.0006343817391301558,1.0,11232.0
