gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,finite_fraction,abs_effect_rank
ACD,22,0.4926442250614041,0.5818116876360931,50,50,below_cohort_completeness,,,,,,0.3055555555555556,
ACE,72,-1.2938174988342988,0.7675961272361761,0,0,tested,-1.4741937456059508,-1.1134412520626467,-14.302320106866226,1.3478436993496795e-22,6.253187301015161e-22,1.0,500.0
ACE2,72,-0.3749167039809669,0.7665411611350037,0,0,tested,-0.5550450458726323,-0.19478836208930148,-4.150166861842303,9.100085108304272e-05,0.00013041296345601887,1.0,3342.0
ACHE,5,0.4727027982701223,0.5089996437178299,67,67,below_cohort_completeness,,,,,,0.06944444444444445,
ACIN1,69,-0.1173314375520481,0.3598007736715906,3,3,tested,-0.20376502082421277,-0.03089785427988341,-2.70879939777428,0.008535824314994176,0.01070667014997089,0.9583333333333334,6043.0
ACLY,72,1.6909027908597016,0.5241354952086527,0,0,tested,1.5677369878143597,1.8140685939050436,27.37419252862877,1.8477571015662393e-39,2.3252868275022643e-37,1.0,175.0
ACLY.1,72,1.0256956237360664,0.6092661024202891,0,0,tested,0.8825251087473276,1.1688661387248052,14.284917439443989,1.4375768418784568e-22,6.657989582799937e-22,1.0,899.0
ACMSD,72,-1.3773790821109082,0.7028891835355999,0,0,tested,-1.542549942572445,-1.2122082216493715,-16.627726453140905,3.463422973130561e-26,2.378039951030992e-25,1.0,408.0
ACO1,72,-1.2487711776287505,0.5512215908863519,0,0,tested,-1.3783019011116573,-1.1192404541458436,-19.22307650754534,7.421079843542029e-30,8.725456505093065e-29,1.0,569.0
ACO2,72,-0.9172681434321297,0.5291838851494801,0,0,tested,-1.041620259953342,-0.7929160269109174,-14.708078819234032,3.032209737185255e-23,1.5196899329987582e-22,1.0,1143.0
ACOT1,67,-0.21408192546107296,0.7527723889149951,5,5,tested,-0.3976975385159028,-0.030466312406243146,-2.327843193752505,0.022995719002329027,0.027800588538690784,0.9305555555555556,4738.0
ACOT11,72,-1.2401345479325552,0.413940224851326,0,0,tested,-1.3374057319539447,-1.1428633639111656,-25.42128053610002,2.1893489681932384e-37,1.4694180491523617e-35,1.0,590.0
ACOT13,72,-1.0622704579907762,0.5436216177599598,0,0,tested,-1.1900152753448443,-0.9345256406367082,-16.580767646317295,4.065321758122596e-26,2.772404863668026e-25,1.0,832.0
ACOT2,72,-1.3142993057221877,0.6177300903912932,0,0,tested,-1.4594587603743236,-1.1691398510700517,-18.053514945265082,3.031378446202318e-28,2.7401483732562816e-27,1.0,473.0
