gene,n_all,mean_difference_all,sd_difference_all,tumor_nonfinite_all,normal_nonfinite_all,status_all,ci95_low_all,ci95_high_all,t_all,p_all,q_all,finite_fraction_all,abs_effect_rank_all,n_early,mean_difference_early,sd_difference_early,tumor_nonfinite_early,normal_nonfinite_early,status_early,ci95_low_early,ci95_high_early,t_early,p_early,q_early,finite_fraction_early,abs_effect_rank_early
CTPS1,72,0.33200455824881736,0.33214855898138956,0,0,tested,0.25395347342196284,0.4100556430756719,8.481602638621837,2.1387462535653987e-12,4.853610122912291e-12,1.0,3652.0,37,0.34310655230002374,0.32683439337311787,0,0,tested,0.23413454012423238,0.45207856447581507,6.38560605171013,2.1280645844184995e-07,4.773830317390404e-07,1.0,3696.0
CTPS2,72,0.3110131810474571,0.23013284777012447,0,0,tested,0.25693461307824306,0.3650917490166712,11.4674388200365,8.068496567814754e-18,2.5624476087216102e-17,1.0,3832.0,37,0.2835621464332327,0.23575775333657273,0,0,tested,0.20495659791067838,0.362167694955787,7.316158959457783,1.2688769601966112e-08,3.252427251064975e-08,1.0,4213.0
CTR9,72,-0.012823368483759432,0.15771407447038166,0,0,tested,-0.049884359031565274,0.024237622064046414,-0.6899187032966804,0.4924942950242494,0.5190459372056143,1.0,7827.0,37,-0.002520493726615921,0.1644296959005838,0,0,tested,-0.0573440838598747,0.052303096406642866,-0.09324085113786686,0.9262292134591005,0.9360679391706755,1.0,8039.0
CTSA,72,-1.317627493332032,0.4517807887954292,0,0,tested,-1.423790773936212,-1.211464212727852,-24.74748883671005,1.2183192131871264e-36,6.814127043756331e-35,1.0,471.0,37,-1.4053587312946325,0.422549945642491,0,0,tested,-1.5462438974676636,-1.2644735651216015,-20.23065798611906,2.9932001228288306e-21,3.1436375835476303e-19,1.0,447.0
CTSB,72,-0.4960358619504833,0.5473686106176741,0,0,tested,-0.6246611794586991,-0.3674105444422675,-7.689523620313543,6.289381278602562e-11,1.3031818064796767e-10,1.0,2606.0,37,-0.56873760078923,0.5539363844270112,0,0,tested,-0.753429186657558,-0.38404601492090196,-6.245294342293327,3.27126107327101e-07,7.194639189432324e-07,1.0,2404.0
CTSC,72,-0.8697120111184683,0.4583175119626408,0,0,tested,-0.977411346360303,-0.7620126758766336,-16.101831015125292,2.1163697712222994e-25,1.3285457628545907e-24,1.0,1260.0,37,-0.946626390193838,0.45464417854985734,0,0,tested,-1.098212306379924,-0.795040474007752,-12.66507701655547,7.923965838569178e-15,5.304727792757362e-14,1.0,1199.0
CTSD,72,0.02185488008768773,0.40594222431894456,0,0,tested,-0.07353686594994971,0.11724662612532516,0.4568256166389137,0.6491909838294269,0.673526237764035,1.0,7665.0,37,0.0844932787484384,0.4500021238398886,0,0,tested,-0.06554489933960136,0.23453145683647816,1.1421113874918267,0.26094740762315566,0.2940339536642692,1.0,6709.0
CTSF,72,-0.5825779761151567,0.5437507210149288,0,0,tested,-0.7103531312468021,-0.4548028209835113,-9.09118435842188,1.5931499200098638e-13,3.863664394989293e-13,1.0,2214.0,37,-0.649809416897197,0.46709026931790876,0,0,tested,-0.805545066349478,-0.49407376744491593,-8.462253728190985,4.403044730060123e-10,1.3477449936410378e-09,1.0,2073.0
CTSG,72,0.7497065823217102,0.795910125793047,0,0,tested,0.562676872082003,0.9367362925614173,7.992700548670461,1.7252155043678033e-11,3.6964314105289406e-11,1.0,1618.0,37,0.8867704678653577,0.7858077517617745,0,0,tested,0.6247691190811802,1.1487718166495353,6.86429239570758,4.9494825885735154e-08,1.193039215910403e-07,1.0,1350.0
CTSH,72,-1.5651138715273896,0.5470190402743356,0,0,tested,-1.6936570440321632,-1.436570699022616,-24.27782326548177,4.120879712054634e-36,2.0743478250555013e-34,1.0,258.0,37,-1.5369446723487086,0.5557123915366685,0,0,tested,-1.7222284084689745,-1.3516609362284426,-16.82321576139861,1.2303802183409623e-18,2.802840795978412e-17,1.0,332.0
CTSL,72,-0.6733287510792709,0.4892895983763516,0,0,tested,-0.7883061698128864,-0.5583513323456555,-11.676896319135803,3.4629399939841494e-18,1.1296281373652629e-17,1.0,1896.0,37,-0.6133452897995323,0.4854029948127175,0,0,tested,-0.7751867059215838,-0.4515038736774808,-7.686054241109413,4.22280028137537e-09,1.1440464279893674e-08,1.0,2220.0
CTSO,72,-0.6031952321905859,0.49612740691268015,0,0,tested,-0.7197794571549299,-0.486611007226242,-10.316465483305018,9.144017711267473e-16,2.535143499020593e-15,1.0,2132.0,37,-0.6201211100016297,0.5213546753388044,0,0,tested,-0.7939494132061443,-0.44629280679711514,-7.235092789210286,1.6177263682467486e-08,4.1011138369941865e-08,1.0,2195.0
CTSS,71,-0.29811846298689587,0.739925110215476,1,0,tested,-0.4732558791817698,-0.12298104679202193,-3.394925762885912,0.0011342505118976437,0.001516224667688568,0.9861111111111112,3947.0,36,-0.4000579865828946,0.7900969141095374,1,0,tested,-0.6673883214862115,-0.13272765167957762,-3.0380423928153557,0.004481081529393304,0.006267469098617026,0.972972972972973,3289.0
CTSZ,72,-0.4821429365765721,0.5322080022343686,0,0,tested,-0.607205685773244,-0.35708018737990027,-7.687066827778114,6.355589443871361e-11,1.316561661032406e-10,1.0,2682.0,37,-0.5762291807384887,0.550369222088915,0,0,tested,-0.7597314154686816,-0.39272694600829583,-6.368570640918321,2.2419950290554593e-07,5.015494827101384e-07,1.0,2373.0
CTTN,72,-0.13972584227275262,0.22375483510585167,0,0,tested,-0.19230565074407044,-0.08714603380143479,-5.29871493671145,1.2513471264083671e-06,2.0116466579027924e-06,1.0,5701.0,37,-0.10416783956512478,0.19993238674546104,0,0,tested,-0.17082861616793804,-0.0375070629623115,-3.169212560722068,0.003114577280098842,0.004440688727813705,1.0,6396.0
CTTNBP2,65,0.12701009958326623,0.38625978504473285,7,7,tested,0.03129961116368089,0.22272058800285155,2.6510348711522482,0.010102241075213868,0.012589114903260482,0.9027777777777778,5882.0,32,0.15783776722897497,0.3617857861311416,5,5,tested,0.027400081726335207,0.2882754527316147,2.46793898076462,0.019310744695517103,0.02511918808953624,0.8648648648648649,5590.0
