gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,finite_fraction,abs_effect_rank
CYP17A1,37,-4.624666883494324,1.0972943835245859,0,0,tested,-4.990523045961782,-4.258810721026866,-25.6364662540898,1.0218805214760926e-24,9.382946632873929e-23,1.0,55.0
CYP19A1,37,0.036219221387935534,0.08077288278265016,0,0,tested,0.009288201444706136,0.06315024133116492,2.7275604775422586,0.009800059108320205,0.01428766132525641,1.0,16152.0
CYP1A1,37,-0.1506900759589363,0.5464128762613277,0,0,tested,-0.33287319931518233,0.031493047397309765,-1.6775079569911724,0.10210616358901736,0.12833663926415464,1.0,12363.0
CYP1A2,37,-0.04697698223423448,0.11443049341564362,0,0,tested,-0.08513000827619008,-0.008823956192278874,-2.4971475591122654,0.017231130352165575,0.02428303014537415,1.0,15714.0
CYP1B1,37,-1.375250626296175,0.9165011167747488,0,0,tested,-1.680827312475246,-1.069673940117104,-9.127455303973735,6.717116633079678e-11,2.6652876256492993e-10,1.0,1531.0
CYP20A1,37,-0.39798631003003915,0.25060115119180804,0,0,tested,-0.48154089379676446,-0.31443172626331384,-9.660195903766896,1.551710308149716e-11,6.73760638127569e-11,1.0,7275.0
CYP21A2,37,0.013953848857453469,0.3537108959729129,0,0,tested,-0.10397923543293634,0.13188693314784328,0.23996419095345742,0.8117191745321616,0.8352555862406613,1.0,17309.0
CYP24A1,37,-2.6598950187541535,1.6957387872221812,0,0,tested,-3.2252824795443678,-2.094507557963939,-9.541274798053406,2.1452772985047362e-11,9.124785271242879e-11,1.0,313.0
CYP26A1,37,0.05324339282544048,0.1328372048726864,0,0,tested,0.00895326363374603,0.09753352201713493,2.4380738451621164,0.019831492717868292,0.027661137435180203,1.0,15437.0
CYP26B1,37,-0.7443101578495556,0.4831696416759308,0,0,tested,-0.9054069369623161,-0.583213378736795,-9.370336106762824,3.428333469522464e-11,1.421769953431647e-10,1.0,3939.0
CYP26C1,37,0.053994318809135536,0.16364784693433834,0,0,tested,-0.000568589900145744,0.10855722751841682,2.00695961146966,0.052308296860578606,0.06888133076565332,1.0,15405.0
CYP27A1,37,-0.555189317084945,0.9652175047180614,0,0,tested,-0.8770088556925202,-0.23336977847736978,-3.498781112732308,0.0012632641949021494,0.0020547460870731925,1.0,5403.0
CYP27B1,37,-3.630666904170821,1.197486328702121,0,0,tested,-4.02992872433887,-3.231405084002772,-18.442368881672387,6.294592766927774e-20,1.782368595605372e-18,1.0,117.0
CYP27C1,37,-0.0982188468797718,0.09778596971666412,0,0,tested,-0.1308223124227049,-0.0656153813368387,-6.109689593511915,4.960396180753797e-07,1.1943214582352097e-06,1.0,13889.0
CYP2A13,37,0.0003401595236352487,0.007387773707711782,0,0,tested,-0.0021230468669776667,0.0028033659142481645,0.2800721416971295,0.78102524830305,0.8073610543038687,1.0,18827.0
CYP2A6,37,-0.13931269765398327,0.1874933247753357,0,0,tested,-0.20182608450850753,-0.076799310799459,-4.519659877490681,6.45277565587858e-05,0.00012202984556183097,1.0,12666.0
CYP2A7,37,-0.03748310933530694,0.11167671785800766,0,0,tested,-0.07471798089388931,-0.00024823777672457886,-2.0416149163138027,0.048570355211600615,0.06421390010676072,1.0,16107.0
CYP2B6,37,-2.7601633141414053,0.8597969612480413,0,0,tested,-3.046833893583355,-2.4734927346994553,-19.52718925685938,9.648426867003549e-21,3.385899706667386e-19,1.0,281.0
CYP2C18,37,-0.15233658095176417,0.1782989296779206,0,0,tested,-0.21178440385457564,-0.09288875804895269,-5.197043236776536,8.217633128517794e-06,1.7303409843695213e-05,1.0,12318.0
CYP2C19,37,-0.06542477541769327,0.11228370209017262,0,0,tested,-0.10286202559516988,-0.02798752524021666,-3.5442665770347053,0.0011123173890645207,0.00182207356145799,1.0,14996.0
CYP2C8,37,0.29047603391720167,1.2294763060283673,0,0,tested,-0.11945177572252258,0.700403843556926,1.4371132866877891,0.15932101596130616,0.19346196423625256,1.0,9099.0
CYP2C9,37,-1.2800712279362392,0.9207232685642889,0,0,tested,-1.5870556496093302,-0.9730868062631483,-8.456796485164217,4.472498004193855e-10,1.567197105396939e-09,1.0,1766.0
CYP2D6,37,-0.5914063166342104,0.30974771908890686,0,0,tested,-0.6946813479661982,-0.48813128530222266,-11.613916620873333,9.862917900162597e-14,6.179433324994221e-13,1.0,5071.0
CYP2E1,37,-1.1509425401243685,0.9845305738833354,0,0,tested,-1.4792013765870735,-0.8226837036616634,-7.110911883600229,2.3495842092654138e-08,6.608533132826068e-08,1.0,2074.0
CYP2F1,37,-0.003848586156244293,0.04024569671580695,0,0,tested,-0.017267169516690717,0.009569997204202133,-0.5816779823973746,0.5644084976262683,0.6067511641148545,1.0,18160.0
CYP2J2,37,4.063098900205135,1.755384793635722,0,0,tested,3.477824470757637,4.648373329652634,14.07945758483797,3.2718926165969174e-16,3.4211082831913045e-15,1.0,89.0
CYP2R1,37,0.4032741789041597,0.27575120308703566,0,0,tested,0.31133415034668444,0.4952142074616349,8.895776473188237,1.2848606205184399e-10,4.862572756523868e-10,1.0,7202.0
CYP2S1,37,0.10447059418181392,0.21479054741766457,0,0,tested,0.032855860166590825,0.17608532819703704,2.9585557811882897,0.005434135644181044,0.008176202058015284,1.0,13700.0
CYP2U1,37,-0.16640539982098085,0.33024602061444003,0,0,tested,-0.27651490515177257,-0.056295894490189125,-3.0650014464583,0.004110598062823156,0.006280449301962844,1.0,11965.0
CYP2W1,37,-0.03852442774273198,0.27552980127753235,0,0,tested,-0.13039063726166625,0.05334178177620228,-0.8504885659850392,0.4006749458978385,0.4445806653169247,1.0,16062.0
CYP39A1,37,-1.0255151095546888,0.7032802004291496,0,0,tested,-1.2600004027737155,-0.791029816335662,-8.86981444785088,1.3823049367112688e-10,5.200138798308204e-10,1.0,2528.0
CYP3A4,37,-0.9957053254679432,0.5451695493849928,0,0,tested,-1.177473903004491,-0.8139367479313955,-11.109642957511673,3.4717234165051707e-13,1.969635525590741e-12,1.0,2663.0
CYP3A43,37,-0.013378171201564875,0.2667028885796483,0,0,tested,-0.10230134150096887,0.07554499909783913,-0.30511944936993546,0.7620323689708118,0.7901314246491498,1.0,17348.0
