gene,protein_n,protein_mean_difference,protein_sd_difference,protein_tumor_nonfinite,protein_normal_nonfinite,protein_status,protein_ci95_low,protein_ci95_high,protein_t,protein_p,protein_q,rna_n,rna_mean_difference,rna_sd_difference,rna_tumor_nonfinite,rna_normal_nonfinite,rna_status,rna_ci95_low,rna_ci95_high,rna_t,rna_p,rna_q,same_direction,joint_pair_n,joint_protein_mean,joint_rna_mean
ABCB1,72,-1.2831020739612844,0.6335836950785875,0,0,tested,-1.431986943072704,-1.1342172048498649,-17.18396829653282,5.297664381616497e-27,4.976729095576622e-26,72,-1.862524856982847,1.105722746571651,0,0,tested,-2.1223569638940263,-1.602692750071668,-14.292956825763195,1.395397458514933e-22,8.322924301650393e-22,True,72.0,-1.2831020739612846,-1.862524856982847
ABCB10,72,0.19222047509902718,0.4560728396137779,0,0,tested,0.08504861199931728,0.29939233819873706,3.5762814082204564,0.0006322850139370194,0.0009134219646983608,72,0.21949129172633075,0.25949905301712345,0,0,tested,0.15851200383888045,0.2804705796137811,7.177079638013563,5.553771598306294e-10,1.2708178934030585e-09,True,72.0,0.19222047509902718,0.21949129172633083
ABCB5,8,-0.4426479136744612,1.1026823732236437,64,64,insufficient_pairs,,,,,,72,0.09008460459675338,0.29793894781859176,0,0,tested,0.0200723842796523,0.16009682491385446,2.5656035341706964,0.012412362910179343,0.01651536496655659,False,8.0,-0.44264791367446127,0.25102232570660404
ABCB6,72,0.8407526105308614,0.5609060990842661,0,0,tested,0.7089461391922965,0.9725590818694262,12.71874646777234,5.561823303669414e-20,2.5295454762336913e-19,72,0.8784949352526037,0.6794748441943637,0,0,tested,0.718826174790212,1.0381636957149953,10.970644130762759,6.11478907134875e-17,2.2647587493513146e-16,True,72.0,0.8407526105308613,0.8784949352526037
ABCB7,39,0.22207152133305677,0.49824527575817584,33,33,tested,0.060559087109660764,0.38358395555645275,2.7834407543872626,0.008334046632671847,0.0109272725909039,72,0.05562039584516763,0.2677015917341029,0,0,tested,-0.007286394143023053,0.11852718583335832,1.762988056348767,0.08220555387906349,0.09965818342431573,True,39.0,0.22207152133305677,-0.0062123775198395185
ABCB8,72,-0.9024192083425662,0.5197196878355768,0,0,tested,-1.0245473475277607,-0.7802910691573716,-14.733482451268651,2.76376365122826e-23,1.728730717753936e-22,72,-0.6573706354007429,0.38084793184266097,0,0,tested,-0.7468655118064815,-0.5678757589950043,-14.646199551483232,3.801649293795969e-23,2.3968289562841627e-22,True,72.0,-0.9024192083425662,-0.6573706354007426
ABCB9,6,0.22874259725341703,0.4577179451934171,66,66,insufficient_pairs,,,,,,72,-0.09139977141142683,0.2989205796942705,0,0,tested,-0.1616426639103742,-0.021156878912479443,-2.594511153297848,0.011499599992489798,0.015357837748082139,False,6.0,0.22874259725341703,0.028001061580491853
ABCC1,72,0.7744483830441848,0.33573039906022,0,0,tested,0.6955556070635696,0.8533411590248001,19.573480561631488,2.5158167905904803e-30,4.0711596548377885e-29,72,0.8979956679175487,0.6168397280556663,0,0,tested,0.753045438156822,1.0429458976782753,12.352878014433047,2.338195165220121e-19,1.0518282722181358e-18,True,72.0,0.7744483830441847,0.8979956679175487
ABCC10,47,-0.02617349749916564,0.6545262643475577,25,25,tested,-0.21834960812254833,0.16600261312421705,-0.27414707142058736,0.7851989740140122,0.804195723385319,72,-0.34021067535815613,0.2906307081874836,0,0,tested,-0.40850554355688007,-0.2719158071594322,-9.932822738990973,4.548089404074185e-15,1.469531351205958e-14,True,47.0,-0.02617349749916562,-0.3284935003419724
ABCC2,72,-0.8053441525964821,0.80600615125362,0,0,tested,-0.9947463125076671,-0.615941992685297,-8.478312140980924,2.1689984999614243e-12,5.8279491028690335e-12,72,-0.9438272804720401,1.3527069550503206,0,0,tested,-1.2616978309820135,-0.6259567299620667,-5.920454547518553,1.0414509648970474e-07,2.0335993117187675e-07,True,72.0,-0.8053441525964821,-0.9438272804720403
ABCC3,72,1.121873080743875,0.6038798308713926,0,0,tested,0.9799682775163212,1.2637778839714289,15.763746807968786,6.899750904730424e-25,5.1013412547649475e-24,72,1.5984575551170093,0.9219016744558367,0,0,tested,1.3818212824333653,1.8150938278006532,14.71237388515561,2.985039824208896e-23,1.9117727267541985e-22,True,72.0,1.121873080743875,1.5984575551170097
ABCC4,72,0.19167884773432864,0.4731122223320222,0,0,tested,0.08050292599887607,0.3028547694697812,3.437765671110046,0.0009847458028405184,0.0013990306768477657,72,-0.13402974271194745,0.6181268896984174,0,0,tested,-0.2792824406299118,0.011222955206016877,-1.8398812580092598,0.06996569557115265,0.08561117768889752,False,72.0,0.19167884773432864,-0.13402974271194745
ABCC5,10,0.12402514068022027,0.53275371845736,62,62,insufficient_pairs,,,,,,72,-0.6164052761593594,0.48786389910324846,0,0,tested,-0.731047671988634,-0.5017628803300848,-10.720965864437677,1.7086007470091815e-16,6.10008321524213e-16,False,10.0,0.12402514068022033,-0.5544130504519489
ABCC6,72,-1.0846067480419919,0.6737479909138093,0,0,tested,-1.2429297639599475,-0.9262837321240363,-13.6596970405089,1.4942357413449008e-21,7.660535101131013e-21,72,-1.668568672343941,1.2576585069530555,0,0,tested,-1.9641039325613674,-1.3730334121265146,-11.25764633149856,1.8916416892301527e-17,7.288666002170486e-17,True,72.0,-1.0846067480419919,-1.6685686723439404
ABCC9,16,0.3548941929755749,0.7237071010612204,56,56,insufficient_pairs,,,,,,72,-0.37057086576996945,0.8080256893614547,0,0,tested,-0.5604475938703077,-0.1806941376696311,-3.8914580397044745,0.00022236922001455785,0.0003435169972034136,False,16.0,0.3548941929755748,-0.2790296037841139
