gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q
L3MBTL4,4,0.03374782082707481,0.2371404509647348,76,76,insufficient_pairs,,,,,
LACC1,80,0.7600766409987928,0.4037029902126599,0,0,tested,0.6702369413759539,0.8499163406216317,16.839935086809337,7.299466570150454e-28,5.438849616194706e-27
LACTB,80,-0.5980511581442076,0.42485420432745985,0,0,tested,-0.6925978298945777,-0.5035044863938375,-12.590512510048773,1.4222200727717822e-20,5.850157062858263e-20
LACTB2,80,-0.8677071280021755,0.5942973569968456,0,0,tested,-0.9999615262446024,-0.7354527297597486,-13.059133445106498,2.0004403354348154e-21,8.64370001656934e-21
LAD1,80,-2.2490816954891555,0.7987728880232395,0,0,tested,-2.426839894131859,-2.071323496846452,-25.18412747087589,1.6983668634431612e-39,8.403618174308807e-38
LAGE3,80,-0.25203652946393357,0.277004389637373,0,0,tested,-0.3136808366961395,-0.19039222223172764,-8.13807771685143,4.6915807716820616e-12,1.1492737997057258e-11
LAIR1,65,1.3597904747331182,0.49079421518070643,15,15,tested,1.2381776227945909,1.4814033266716455,22.3372259735033,6.385627973024379e-32,7.516016850928117e-31
LAMA1,80,-0.4422688356887277,0.6892493319473123,0,0,tested,-0.5956537608654526,-0.2888839105120028,-5.739247816958507,1.6859878101426145e-07,3.073738821102427e-07
LAMA2,80,-0.7302708403847313,0.8132511230373086,0,0,tested,-0.9112510123996105,-0.5492906683698522,-8.03164087858872,7.564788747169964e-12,1.8263356631905128e-11
LAMA3,80,0.3649966032740586,0.6707078831881308,0,0,tested,0.21573787539455866,0.5142553311535585,4.867437744120796,5.681164732534156e-06,9.34755643562884e-06
LAMA4,12,0.7201326724184253,1.0961220753417886,68,68,insufficient_pairs,,,,,
LAMA4.1,76,0.6927222899574632,1.1439135695725184,4,4,tested,0.4313268417658179,0.9541177381491085,5.279256297293606,1.2199831672779594e-06,2.093130520798559e-06
LAMA5,80,-0.012633402637118544,0.41685409618311736,0,0,tested,-0.10539973753078283,0.08013293225654575,-0.2710698764136675,0.7870443146969441,0.8044061666204704
LAMB1,80,0.14245245958005234,0.4536352687450401,0,0,tested,0.041500875691828296,0.24340404346827638,2.8087179734877785,0.006265380824060406,0.008214950699723143
LAMB2,80,0.7215039887744501,0.49784565582679624,0,0,tested,0.6107138651876666,0.8322941123612336,12.962507122875886,2.9911799728559624e-21,1.2778330873143683e-20
LAMB3,42,0.4025093469023736,0.5090590894202403,38,38,tested,0.24387536734625243,0.5611433264584949,5.1242748831587095,7.513413658671346e-06,1.2253476067653924e-05
LAMC1,80,0.483785267393975,0.4965105412080013,0,0,tested,0.37329225901124635,0.5942782757767036,8.71503546953019,3.504833613870817e-13,9.169601906105041e-13
