gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q
C10orf35,72,0.0032046288575221116,0.4156003745482165,0,0,tested,-0.0944566712168006,0.10086592893184482,0.06542866470137182,0.9480165818527709,0.9541888261661253
C10orf53,72,-0.010986589326771186,0.02238388441212021,0,0,tested,-0.016246544288980706,-0.005726634364561668,-4.164795531663022,8.643951865485645e-05,0.0001379824922113915
C10orf55,72,-0.3651944237201599,0.4495403386721627,0,0,tested,-0.47083122435658786,-0.259557623083732,-6.8932133003270115,1.8420470686485102e-09,4.071431478594841e-09
C10orf62,72,-1.1657942753312742,0.9206690905215864,0,0,tested,-1.3821409049904132,-0.9494476456721352,-10.74446025450713,1.5507214918719431e-16,5.551010762037839e-16
C10orf67,72,-0.8527333171331555,0.39078625141538137,0,0,tested,-0.9445635841435851,-0.7609030501227259,-18.515702911389166,6.868693199394487e-29,8.032484697815878e-28
C10orf71,72,-0.12282095099531062,0.09872722164458213,0,0,tested,-0.14602071068998598,-0.09962119130063525,-10.556058506321481,3.379385068320042e-16,1.182318437426046e-15
C10orf76,72,0.027040965681583515,0.23197023498863897,0,0,tested,-0.02746936711627185,0.08155129847943889,0.9891363969631818,0.32595541785908383,0.3599954853104768
C10orf82,72,-0.52627066827105,0.2945517723617807,0,0,tested,-0.5954869413779215,-0.4570543951641784,-15.160508672151682,5.890104831840018e-24,4.0579834557042734e-23
C10orf88,72,0.1200238590922985,0.20405253307284787,0,0,tested,0.07207386461739923,0.16797385356719777,4.9910491219264985,4.124262922173026e-06,7.239924248995577e-06
C10orf90,72,-0.05739526564187144,0.06323075251153115,0,0,tested,-0.07225376402909427,-0.04253676725464861,-7.702185395178264,5.958920453474597e-11,1.4508178287172787e-10
C10orf95,72,-0.66853588294944,0.35527386557577934,0,0,tested,-0.7520211484097468,-0.5850506174891332,-15.96716118256393,3.38289213084628e-25,2.6547417693224256e-24
C10orf99,72,1.8909478557567887,2.08451018133233,0,0,tested,1.4011119778455206,2.380783733668057,7.6973596789313925,6.082772209709341e-11,1.4798351275284435e-10
C11orf1,72,-0.007347853393842357,0.4907839530851448,0,0,tested,-0.12267642826823746,0.10798072148055274,-0.12703879813403254,0.8992687942620462,0.9109096592207975
C11orf16,72,-0.10038832524295549,0.2455459571567635,0,0,tested,-0.15808879635054673,-0.042687854135364245,-3.4690988043074387,0.0008916432561395061,0.0013139023958069365
C11orf21,72,0.6374051538972905,0.3940872987513281,0,0,tested,0.5447991787927912,0.7300111290017898,13.724274031021714,1.1705656976079577e-21,6.39239136703484e-21
C11orf24,72,0.24803693629814688,0.41924392529337917,0,0,tested,0.14951944377441612,0.34655442882187765,5.020139991822326,3.6889514756266346e-06,6.49434425599856e-06
C11orf40,72,-0.006996991106549371,0.040651429789509634,0,0,tested,-0.01654960878029251,0.0025556265671937677,-1.4605006175560762,0.14856373117747868,0.17431441122669117
C11orf42,72,-0.4790099324046657,0.36188349079949933,0,0,tested,-0.5640483836460349,-0.3939714811632965,-11.231609512025326,2.1033366646675625e-17,8.086321609109118e-17
C11orf45,72,0.2981010409938953,0.6371257059442829,0,0,tested,0.1483838401349474,0.44781824185284314,3.9701289512996545,0.0001700188743002293,0.0002650577104877314
C11orf49,72,-0.1780809455963589,0.3692686256926577,0,0,tested,-0.26485481845681147,-0.09130707273590635,-4.092053387804565,0.00011152188786045458,0.0001764070125336115
C11orf52,72,-1.186598114907114,0.8724111528863494,0,0,tested,-1.3916046851799109,-0.9815915446343173,-11.541139576008595,5.988151029984526e-18,2.3966468498243688e-17
C11orf53,72,-0.2598597835116195,0.2402132873301709,0,0,tested,-0.31630713864524584,-0.2034124283779931,-9.179273159498804,1.0959023931149857e-13,3.21292876085486e-13
C11orf54,72,-1.293191476785674,1.213829178827492,0,0,tested,-1.5784273498315182,-1.0079556037398298,-9.04006407383706,1.9798057478577555e-13,5.695311088580215e-13
C11orf57,72,0.33436244542021903,0.2601726057781927,0,0,tested,0.2732248803936151,0.395500010446823,10.904912228875604,8.009462481361755e-17,2.9350416854108254e-16
C11orf58,72,0.22139911832648013,0.23554521110095772,0,0,tested,0.16604870732791757,0.27674952932504265,7.975682486719359,1.8552302348624356e-11,4.673715277677426e-11
C11orf63,72,-1.0828834760113268,0.5470584425864314,0,0,tested,-1.2114359076055066,-0.954331044417147,-16.796324257472545,1.9526443795313172e-26,1.7605278746698909e-25
C11orf65,72,0.06687497917742571,0.30160492554197327,0,0,tested,-0.003998703670593767,0.1377486620254452,1.8814447880687286,0.06401134342831852,0.07865940902736698
C11orf68,72,0.44524828028615915,0.31976492049145827,0,0,tested,0.37010720783812356,0.5203893527341947,11.815107591593437,1.98714480657382e-18,8.279044368317527e-18
C11orf70,72,0.050255378666107325,0.6490940731822791,0,0,tested,-0.10227425061160761,0.20278500794382226,0.6569633681296551,0.5133284291828564,0.5480287508231999
C11orf71,72,-0.37404385275532626,0.41156865069921517,0,0,tested,-0.4707577441728061,-0.27732996133784643,-7.711635304440977,5.723633103906076e-11,1.3944251565762208e-10
C11orf74,72,-0.11471033647315333,0.3497971307905219,0,0,tested,-0.19690863235391642,-0.03251204059239024,-2.7826113933769894,0.006903202340988526,0.00940963387196393
C11orf80,72,-0.27776988817412246,0.5586059532989951,0,0,tested,-0.40903585175209095,-0.14650392459615397,-4.219352916897121,7.129591512904859e-05,0.00011443334398403468
C11orf84,72,0.2349886922871044,0.4247543618050124,0,0,tested,0.13517631066639402,0.3348010739078148,4.6943489063822375,1.2661717509452988e-05,2.1504337124173683e-05
C11orf86,72,0.27464536470961787,0.9443875286216151,0,0,tested,0.0527251753464022,0.49656555407283354,2.4676768032852867,0.016011498015616424,0.02103777188826329
C11orf87,72,-0.3196395751152668,0.29708247631502827,0,0,tested,-0.38945053449605244,-0.24982861573448117,-9.12955811745367,1.35348775375264e-13,3.941281720919824e-13
C11orf88,72,0.07192985287032996,0.08921347089671115,0,0,tested,0.050965714997771944,0.09289399074288798,6.841400011428452,2.290867617421118e-09,5.031282945860771e-09
C11orf91,72,0.07767968834325585,0.3331820081091247,0,0,tested,-0.0006142451227150458,0.15597362180922675,1.9783001381029086,0.05177574718056999,0.0642508537909377
C11orf94,72,-0.25113404270631695,0.43316028066340473,0,0,tested,-0.35292171841794884,-0.14934636699468506,-4.919525427745841,5.419398136572192e-06,9.444583958108351e-06
