gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
DUT,72,1.0,-0.4537116236145541,0.4187094288983407,-0.5521035156431428,-0.3553197315859654,1.0268217007614542e-13,2.514448761913272e-13,tested,2825.0
DUT.1,11,0.1527777777777778,0.32070258560391857,0.4324304794894298,,,,,insufficient_pairs,
DVL1,72,1.0,-0.2040091508452693,0.3190838088526298,-0.27899016990496023,-0.12902813178557837,7.605762866085276e-07,1.2375113964333497e-06,tested,4853.0
DVL2,72,1.0,0.12368786594779883,0.27368522739379125,0.05937499051434961,0.18800074138124806,0.00026930725761092813,0.0003751947159312256,tested,5922.0
DVL3,72,1.0,-0.14977781398753598,0.25451866388670213,-0.20958676780615462,-0.08996886016891734,4.087700057062736e-06,6.354436645354811e-06,tested,5550.0
DXO,7,0.09722222222222222,-0.0994144471360434,0.9105037824519736,,,,,insufficient_pairs,
DYM,72,1.0,-0.019497792736741196,0.2025178479873705,-0.06708715389696812,0.028091568423485737,0.416697416682169,0.4438673447901321,tested,7710.0
DYNC1H1,72,1.0,-0.09650300054021779,0.15745078465051188,-0.13350212101359754,-0.05950388006683806,1.8352482262250328e-06,2.9148272952112827e-06,tested,6412.0
DYNC1I1,4,0.05555555555555555,0.2702902997560488,0.3940706746248413,,,,,insufficient_pairs,
DYNC1I2,72,1.0,0.03601107391413833,0.48107076963905104,-0.07703501475163124,0.14905716257990792,0.5273561174134628,0.5540472436274497,tested,7425.0
DYNC1I2.1,72,1.0,-0.01376439622904169,0.2890231837803508,-0.08168151471165323,0.05415272225356986,0.6873525628008562,0.710190832687376,tested,7812.0
DYNC1LI1,72,1.0,-0.4464583440632281,0.159923844484737,-0.48403860510664354,-0.40887808301981265,1.9534715553878042e-35,8.194406201611132e-34,tested,2870.0
DYNC1LI2,72,1.0,0.05430510290271975,0.1898520551183903,0.009692057149814914,0.09891814865562458,0.01775852603723741,0.02165765728405665,tested,7098.0
DYNC2H1,72,1.0,-0.02296974174465355,0.25421050769983977,-0.08270628240948802,0.03676679892018092,0.44579822310492895,0.47342548640388943,tested,7643.0
DYNC2LI1,7,0.09722222222222222,-0.07486282626498512,0.3338542738828654,,,,,insufficient_pairs,
DYNC2LI1.1,64,0.8888888888888888,0.03572375224951742,0.28884251820017015,-0.03642696206588071,0.10787446656491555,0.3262368366352564,0.35273345177344007,tested,7434.0
DYNLL1,72,1.0,0.04015421288062463,0.37912903983074203,-0.048936743704892795,0.12924516946614206,0.3718550696843275,0.3990567263474449,tested,7347.0
DYNLL2,72,1.0,-0.7352529050535908,0.3274664429415573,-0.8122037465516323,-0.6583020635555492,1.265383940778117e-29,1.4374333228528848e-28,tested,1667.0
DYNLRB1,72,1.0,0.05090374858951249,0.15751862466907962,0.013888686493323602,0.08791881068570138,0.007719972309862642,0.009710550832989804,tested,7158.0
DYNLT1,72,1.0,0.14504838125210437,0.2773862512436674,0.07986580785176112,0.21023095465244762,3.2649298770792705e-05,4.802875841095241e-05,tested,5624.0
DYNLT3,72,1.0,-0.4196547045080211,0.3772726383763774,-0.5083094281385269,-0.3309999808775153,3.6528057565448195e-14,9.20228262846793e-14,tested,3038.0
DYRK1A,72,1.0,0.14947082181850746,0.19230752863746087,0.10428076807702422,0.1946608755599907,6.431117818536483e-09,1.1828322199244768e-08,tested,5555.0
DYRK1B,41,0.5694444444444444,0.13393530773774634,0.43120915884488725,,,,,insufficient_pairs,
DYSF,4,0.05555555555555555,0.5183747246630742,0.11599351556275606,,,,,insufficient_pairs,
DYSF.1,68,0.9444444444444444,0.734032696702756,0.6312664906601219,0.5812336535318599,0.886831739873652,3.41722787809568e-14,8.616892088347717e-14,tested,1672.0
DZIP3,46,0.6388888888888888,-0.11938043442467838,0.443432675971353,,,,,insufficient_pairs,
E2F3,15,0.20833333333333334,-0.17058014772281344,0.4129346003312993,,,,,insufficient_pairs,
E2F4,72,1.0,0.01828982756334467,0.2338557970304922,-0.03666359059163617,0.07324324571832552,0.5090746753820876,0.5358890910374243,tested,7737.0
E2F5,3,0.041666666666666664,-0.32572121273076776,0.2159156114350979,,,,,insufficient_pairs,
E4F1,41,0.5694444444444444,0.03538710155733892,0.3717394082292099,,,,,insufficient_pairs,
EAF1,33,0.4583333333333333,0.48707394624443645,0.693095968842957,,,,,insufficient_pairs,
EAF2,32,0.4444444444444444,-2.541675834901221,1.481804974530003,,,,,insufficient_pairs,
EAPP,72,1.0,0.35539541149629716,0.3533094114436978,0.27237177012543934,0.438419052867155,1.7001105139706054e-12,3.878949031025285e-12,tested,3489.0
EARS2,72,1.0,-0.9115507214942211,0.48860635927958107,-1.026367586911385,-0.7967338560770572,5.462273287645596e-25,3.2904374763423807e-24,tested,1161.0
EBAG9,72,1.0,-0.05315417314158573,0.3202858162928962,-0.12841765010195355,0.022109303818782094,0.1634341802014915,0.18281928990872398,tested,7118.0
EBF1,18,0.25,0.3276053170404769,0.5840759256193288,,,,,insufficient_pairs,
EBF2,4,0.05555555555555555,0.8434104204016255,0.47165730976284664,,,,,insufficient_pairs,
EBI3,14,0.19444444444444445,-0.012927014514678866,0.4054421875418605,,,,,insufficient_pairs,
EBNA1BP2,72,1.0,1.0815341894192405,0.40599662480370313,0.9861296598944083,1.1769387189440728,3.704780385980079e-34,1.0618612536898063e-32,tested,804.0
EBP,55,0.7638888888888888,-0.7169223837857034,0.6035310123503244,,,,,insufficient_pairs,
ECD,72,1.0,0.1358343280818065,0.25744404416884764,0.07533794359887075,0.19633071256474227,2.8224354000514316e-05,4.174819965475525e-05,tested,5754.0
ECE1,72,1.0,0.2318982460196749,0.291403478224536,0.1634217857649788,0.300374706274371,3.3271745635211175e-09,6.215974004778261e-09,tested,4560.0
ECH1,72,1.0,-0.6652597373387917,0.5816843683553957,-0.8019488625790012,-0.5285706120985822,1.1884004959710328e-14,3.0935286343085644e-14,tested,1918.0
ECHDC1,72,1.0,-0.742925664989524,0.4734880455863148,-0.8541899008600451,-0.6316614291190028,5.574438814263844e-21,2.210562787300886e-20,tested,1640.0
ECHDC2,72,1.0,-1.0399664990796165,0.5634473261431174,-1.1723701295006803,-0.9075628686585526,9.893248574376816e-25,5.833105711422466e-24,tested,871.0
ECHDC3,72,1.0,-1.300390463531075,0.6408724684271365,-1.4509881104087325,-1.1497928166534175,4.7374585723019304e-27,3.602973686621317e-26,tested,490.0
ECHS1,72,1.0,-1.683199513607021,0.6573137666083202,-1.8376606761444743,-1.5287383510695678,4.315224038145716e-33,9.627372410865817e-32,tested,180.0
ECI1,72,1.0,-0.96557810109761,0.519960676883843,-1.087762869932821,-0.843393332262399,7.056766620197567e-25,4.2068984721740345e-24,tested,1038.0
ECI2,72,1.0,-1.402303291446186,0.5276037054465181,-1.52628408394174,-1.2783224989506319,4.267606184140292e-34,1.2188404328746779e-32,tested,384.0
ECM1,72,1.0,-0.018341211657927778,0.5676802208820761,-0.15173952357737536,0.11505710026151982,0.7847643078246017,0.8008732558564803,tested,7735.0
ECM2,45,0.625,0.5427291331630759,0.6949037260971355,,,,,insufficient_pairs,
ECPAS,72,1.0,0.034340437071970674,0.13867166279678045,0.0017541938884230307,0.06692668025551832,0.03916664506593872,0.04629412376886857,tested,7455.0
ECSCR,56,0.7777777777777778,1.1094777894253183,0.7178869152340221,,,,,insufficient_pairs,
ECSIT,72,1.0,-0.5467887401703484,0.36810106631080775,-0.6332882500269913,-0.46028923031370544,8.700427373196892e-20,3.1650064166092036e-19,tested,2376.0
ECT2,30,0.4166666666666667,0.3677224790364095,0.425454676141325,,,,,insufficient_pairs,
EDARADD,7,0.09722222222222222,0.004175684357856773,0.5331184510735136,,,,,insufficient_pairs,
EDC3,72,1.0,0.10754678701599299,0.17249721537649235,0.06701192866515135,0.14808164536683463,1.293232295081601e-06,2.074839224021357e-06,tested,6215.0
EDC4,72,1.0,0.16998780809294844,0.13972181357510094,0.13715479157480906,0.20282082461108783,8.886286767102377e-16,2.4653859325608866e-15,tested,5269.0
EDEM1,8,0.1111111111111111,0.6095641311013255,0.24563174572693094,,,,,insufficient_pairs,
EDEM2,32,0.4444444444444444,0.2613629752672883,0.5045668079398496,,,,,insufficient_pairs,
EDEM3,69,0.9583333333333334,0.20463669289355862,0.2773603506260308,0.13800746161760397,0.2712659241695133,5.060289394892288e-08,8.823461958532687e-08,tested,4841.0
EDF1,72,1.0,0.11453840727266636,0.21193362825101802,0.06473644622544081,0.1643403683198919,1.8937668123014154e-05,2.829233519991764e-05,tested,6088.0
EDIL3,62,0.8611111111111112,0.8377044142433568,0.6549618984119072,0.6713752359782317,1.004033592508482,1.3596112894202118e-14,3.530080375561053e-14,tested,1350.0
EDNRB,22,0.3055555555555556,0.9974895606496371,0.566460084415033,,,,,insufficient_pairs,
EDRF1,19,0.2638888888888889,0.07611113045729462,0.4973397371810544,,,,,insufficient_pairs,
EEA1,72,1.0,0.14106822895434276,0.22556545038250883,0.08806294675229265,0.19407351115639287,1.2128596004474543e-06,1.9513326452264877e-06,tested,5680.0
EEF1A1,72,1.0,0.027024078156090217,0.20749076440298872,-0.021733861071079413,0.07578201738325985,0.2728287365494191,0.2979474771754605,tested,7577.0
EEF1A2,72,1.0,0.5183206713922593,0.6463583210547046,0.36643391234715783,0.6702074304373609,2.6761236235135287e-09,5.025297193699687e-09,tested,2514.0
EEF1AKMT1,72,1.0,0.4664601591894497,0.23652425456103696,0.41087968425688676,0.5220406341220126,2.410711337994517e-26,1.6839435486737066e-25,tested,2759.0
EEF1AKMT2,22,0.3055555555555556,0.08775403619118984,0.6822293498844103,,,,,insufficient_pairs,
EEF1AKMT2.1,16,0.2222222222222222,0.1724460411327506,0.19518205562270516,,,,,insufficient_pairs,
EEF1AKMT4,41,0.5694444444444444,0.2294179817821994,0.3905429110876353,,,,,insufficient_pairs,
EEF1B2,72,1.0,-0.07903293846316856,0.16348324756515964,-0.1174496182242055,-0.04061625870213161,0.00010769915910560989,0.000153632488033401,tested,6693.0
EEF1D,40,0.5555555555555556,0.3604730225162374,0.3761164906299645,,,,,insufficient_pairs,
EEF1D.1,72,1.0,-0.05088454660228286,0.24295098978707783,-0.10797523027344688,0.006206137068881172,0.0798201705144161,0.09170779647975852,tested,7159.0
EEF1E1,72,1.0,-0.22719336089073494,0.2161101585003177,-0.27797675843062425,-0.17640996335084563,3.293187156530247e-13,7.826299604217944e-13,tested,4604.0
EEF1G,72,1.0,-0.10084024920698814,0.16675254001244733,-0.14002517502909362,-0.06165532338488266,2.4029174347575996e-06,3.7947249057917076e-06,tested,6338.0
EEF2,72,1.0,0.15704370201073445,0.17708557098852165,0.11543063295144189,0.198656771070027,1.2677749454079537e-10,2.5751978336231166e-10,tested,5442.0
EEF2K,72,1.0,0.5682259937710802,0.27031268978619116,0.504705625821932,0.6317463617202284,6.129639199283107e-28,5.268742167665544e-27,tested,2275.0
EEFSEC,72,1.0,-0.2606568601128596,0.2555405629327354,-0.320705948434458,-0.2006077717912612,1.0198253073337845e-12,2.349448805854205e-12,tested,4275.0
EEPD1,64,0.8888888888888888,0.22270767820100262,0.3787031795572139,0.12811043853966608,0.31730491786233916,1.4347737922614181e-05,2.1575183201780175e-05,tested,4655.0
EFCAB14,69,0.9583333333333334,0.028532468358509457,0.2625085520688045,-0.03452897134702149,0.09159390806404041,0.3697873664904408,0.39694354920885117,tested,7547.0
EFCAB7,72,1.0,-0.1133624229492184,0.28005714032070145,-0.179172624512556,-0.04755222138588082,0.0009943353203611728,0.001334729445031481,tested,6105.0
EFEMP1,72,1.0,0.4617296008726717,0.9282349668613895,0.24360507743672866,0.6798541243086147,7.092827899768441e-05,0.00010219255081347946,tested,2780.0
EFEMP2,72,1.0,-0.4672340509462486,0.8756123824079838,-0.6729928732767076,-0.26147522861578953,2.3442170626123667e-05,3.482879840656934e-05,tested,2754.0
EFHD1,72,1.0,-0.8504451152265735,0.45924722460534195,-0.9583629222286428,-0.7425273082245042,8.241900960012065e-25,4.8880905988171706e-24,tested,1304.0
EFHD2,72,1.0,0.961290348909679,0.31271441199282235,0.8878060647330938,1.0347746330862642,4.193282855823186e-38,3.377270012079994e-36,tested,1050.0
EFL1,72,1.0,0.07926991629562702,0.21286432819664633,0.029249251483353216,0.12929058110790081,0.002319806871170797,0.003031103916354575,tested,6688.0
EFNA1,72,1.0,0.3850129710557239,0.5748967997325483,0.24991884624536612,0.5201070958660817,2.724177126669138e-07,4.5510314412348556e-07,tested,3270.0
EFNA5,57,0.7916666666666666,-0.3007666942539246,0.621292716039166,,,,,insufficient_pairs,
EFNB1,72,1.0,-0.15751007959546917,0.2979318503834355,-0.22752063209707488,-0.08749952709386347,2.732002338067994e-05,4.0447696380146365e-05,tested,5431.0
