gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
C1orf162,37,1.0,1.9534708980147866,0.7572894757551415,1.7009780158523566,2.2059637801772167,1.1274871362465304e-17,1.6622306455263539e-16,tested,738.0
C1orf167,37,1.0,-0.002946507603207432,0.03357908327808096,-0.014142331378257898,0.008249316171843036,0.5967936296956773,0.637471849203396,tested,18259.0
C1orf168,37,1.0,-2.056197897874363,0.9332671012874016,-2.367364641603975,-1.7450311541447507,1.4646987520691093e-15,1.334465413153713e-14,tested,660.0
C1orf174,37,1.0,-0.06810857970634786,0.20487842015953178,-0.13641844595317754,0.00020128654048180705,0.050643516753423067,0.06679139027966792,tested,14894.0
C1orf185,37,1.0,-0.0771127276806935,0.16362629499600714,-0.13166845061597468,-0.022557004745412314,0.006889843783616967,0.010249421562494292,tested,14558.0
C1orf186,37,1.0,1.3868260110697397,0.9793448551272795,1.0602961793228267,1.7133558428166527,2.8563623905161366e-10,1.0285188390750567e-09,tested,1504.0
C1orf189,37,1.0,0.009661565351762142,0.3120557934877969,-0.09438301629866883,0.11370614700219311,0.8516767418381244,0.870970240693562,tested,17621.0
C1orf194,37,1.0,-0.5742225037174593,0.25548459473933144,-0.6594053086277073,-0.4890396988072113,8.015981531276615e-16,7.715549788114752e-15,tested,5233.0
C1orf198,37,1.0,-0.0039929772088929056,0.4791835109670667,-0.16376071417386234,0.15577475975607652,0.9598552042097142,0.9661889128247357,tested,18145.0
C1orf204,37,1.0,-0.4253652610702883,0.23859125841914103,-0.5049155472233322,-0.3458149749172445,6.817158019539502e-13,3.68208292231838e-12,tested,6919.0
C1orf21,37,1.0,-0.24481746566540247,0.5168495644603847,-0.4171436901185661,-0.07249124121223882,0.006636582315524611,0.00989523525919502,tested,10028.0
C1orf210,37,1.0,-1.3332843945586341,0.9797669805900355,-1.6599549699420793,-1.006613819175189,7.493531971571781e-10,2.5520374008332776e-09,tested,1615.0
C1orf216,37,1.0,0.9514504330780271,0.407513830854831,0.8155785571735235,1.0873223089825308,2.509520416099268e-16,2.6954899869686343e-15,tested,2866.0
C1orf226,37,1.0,-1.527606674173277,0.27470862649657946,-1.619199090388805,-1.436014257957749,7.010751722233319e-29,1.781317766584624e-26,tested,1235.0
C1orf228,37,1.0,-0.2822488135739875,0.29268112574386984,-0.3798335593806343,-0.18466406776734073,1.0497458962920802e-06,2.438406438458148e-06,tested,9269.0
C1orf234,37,1.0,-0.09861297496643288,0.1653725515800659,-0.15375092883456104,-0.04347502109830473,0.0008806325989352114,0.0014601302251805335,tested,13873.0
C1orf27,37,1.0,0.1569925842949323,0.2206591519302282,0.08342116011684768,0.2305640084730169,0.00011464026106685338,0.00021085380572535316,tested,12195.0
C1orf35,37,1.0,0.33122641346544185,0.30429283093774834,0.22977013239376412,0.4326826945371196,1.0363315022398095e-07,2.6944619058235047e-07,tested,8320.0
C1orf43,37,1.0,0.10545043443339348,0.3602998912707915,-0.014679530266112156,0.22558039913289912,0.08347408519703858,0.10642439481679596,tested,13665.0
C1orf50,37,1.0,-0.03635478234219513,0.265148669532707,-0.1247597502114351,0.052050185527044844,0.4097735764315731,0.45387756621205155,tested,16149.0
C1orf52,37,1.0,0.3166101409047732,0.2275045513626524,0.2407563469228268,0.3924639348867196,4.366401659884097e-10,1.532859825477129e-09,tested,8586.0
C1orf53,37,1.0,-0.4948945066555675,0.603980171169136,-0.6962715217466392,-0.2935174915644958,1.57695559295107e-05,3.209740131353652e-05,tested,6040.0
C1orf54,37,1.0,0.8508517159306129,0.5105164605532692,0.6806370534491077,1.0210663784121181,4.304021265214187e-12,2.0439508468874302e-11,tested,3327.0
C1orf56,37,1.0,-0.5355802185093292,0.24637397829580907,-0.6177253926617913,-0.45343504435686716,2.193267049087975e-15,1.919743000161918e-14,tested,5617.0
C1orf61,37,1.0,0.09049259291230033,0.14150954617663222,0.04331096116968759,0.13767422465491308,0.00041530666643155377,0.0007162875531642964,tested,14144.0
C1orf64,37,1.0,-0.6221769248285064,0.14635020482026478,-0.6709725125174585,-0.5733813371395543,7.598316430022839e-25,7.301305953485686e-23,tested,4816.0
C1orf68,37,1.0,0.0,0.0,,,,,zero_variance,
C1orf74,37,1.0,-0.2127991533424167,0.344653753029314,-0.32771243582755094,-0.09788587085728243,0.0006110102429146811,0.0010341140609100925,tested,10762.0
C1orf87,37,1.0,-0.04280343395777223,0.11759505330781703,-0.08201157679922347,-0.003595291116320988,0.03324471075777839,0.04501565638079879,tested,15885.0
C1orf94,37,1.0,-0.0037692597397709256,0.022228864886466086,-0.011180732290325452,0.0036422128107836006,0.3092192801629527,0.3538772195233694,tested,18172.0
C2,37,1.0,1.4555296911852418,1.1565661274665275,1.0699113453812579,1.8411480369892257,4.62746076909791e-09,1.4285689643787654e-08,tested,1360.0
C20orf141,37,1.0,0.01778297543048736,0.043708267916318655,0.0032099133533810605,0.03235603750759366,0.018175460904844523,0.025503623369075235,tested,17062.0
C20orf144,37,1.0,-0.1321690828609273,0.2967366544689547,-0.23110600926597485,-0.03323215645587975,0.010257155798544164,0.014902381283467459,tested,12851.0
C20orf173,37,1.0,0.05130442274563083,0.08886673773190731,0.021674777204964274,0.08093406828629739,0.0012185243836033252,0.0019853896731722716,tested,15514.0
C20orf194,37,1.0,-0.3594078085541962,0.31164935292392054,-0.4633168761737494,-0.255498740934643,3.1382783626749394e-08,8.682248826970379e-08,tested,7861.0
C20orf196,37,1.0,0.19837194688123078,0.2513868678744787,0.11455539212966798,0.2821885016327936,2.764209140099593e-05,5.467615096600044e-05,tested,11127.0
C20orf202,37,1.0,0.42094442712230434,0.2209190841693119,0.34728633722085456,0.49460251702375413,1.0455741422883465e-13,6.531385370338202e-13,tested,6973.0
C20orf24,37,1.0,-0.04601842368104006,0.44032685550383877,-0.19283070669714833,0.10079385933506821,0.5289877683495124,0.572185259811919,tested,15743.0
C20orf27,37,1.0,0.5870077991239245,0.2970049972693091,0.4879814027747695,0.6860341954730796,3.64555530691938e-14,2.497489265859474e-13,tested,5117.0
C20orf85,37,1.0,-0.013265758977126504,0.0655766950848402,-0.03513011768638688,0.008598599732133876,0.2264878930639906,0.2660881054226945,tested,17353.0
C20orf96,37,1.0,-0.48259735153186484,0.35196470610575564,-0.5999482271339301,-0.36524647592979953,6.250252242077626e-10,2.148737207540863e-09,tested,6188.0
C21orf140,37,1.0,0.0,0.0,,,,,zero_variance,
C21orf2,37,1.0,-0.4820083600276269,0.33104242719766863,-0.5923834005335537,-0.3716333195217002,1.4343623772593796e-10,5.386334001560684e-10,tested,6196.0
C21orf33,37,1.0,-0.44075326458388225,0.661594687738065,-0.6613399158954731,-0.22016661327229134,0.00025871005943372324,0.00045703752444091483,tested,6743.0
C21orf58,37,1.0,0.2673620163785957,0.2243458849316258,0.1925613742183676,0.34216265853882377,1.551297841227681e-08,4.4587142785019885e-08,tested,9540.0
C21orf59,37,1.0,-0.08468157712361539,0.26022292363721383,-0.17144421954430394,0.0020810652970731786,0.0554517374714988,0.0727623735187929,tested,14328.0
