specification,clip,term,abs_smd
reduced,0.05,resp1,0.023327265804985294
reduced,0.05,temp1,0.01413321737455929
reduced,0.05,pafi1,0.02302154620533939
reduced,0.05,alb1,0.0009887175799816956
reduced,0.05,hema1,0.025435691003473235
reduced,0.05,bili1,0.00491826817976079
reduced,0.05,crea1,0.031199100202582312
reduced,0.05,sod1,0.01748672898159532
reduced,0.05,pot1,0.02220752445637461
reduced,0.05,paco21,0.04604612234395685
reduced,0.05,ph1,0.028944489904227495
reduced,0.05,wtkilo1,0.037082234715736115
reduced,0.05,adld3p,0.1652643315808365
reduced,0.05,urin1,0.07959689491748967
reduced,0.05,cat1_CHF,0.010302516603692951
reduced,0.05,cat1_COPD,0.06683093629707176
reduced,0.05,cat1_Cirrhosis,0.017457805423942787
reduced,0.05,cat1_Colon Cancer,0.017107148875760952
reduced,0.05,cat1_Coma,0.023153055769545353
reduced,0.05,cat1_Lung Cancer,0.04041352230734014
reduced,0.05,cat1_MOSF w/Malignancy,0.01156847442767632
reduced,0.05,cat1_MOSF w/Sepsis,0.026055652677224123
reduced,0.05,cat2_Colon Cancer,0.0007659200212496276
reduced,0.05,cat2_Coma,0.01292719008599241
reduced,0.05,cat2_Lung Cancer,0.009372530428481239
reduced,0.05,cat2_MOSF w/Malignancy,0.018647090987571682
reduced,0.05,cat2_MOSF w/Sepsis,0.014304957533190228
reduced,0.05,ca_No,0.008877624932210964
reduced,0.05,ca_Yes,0.013438882057405559
reduced,0.05,sex_Male,0.026143797266308878
reduced,0.05,dnr1_Yes,0.03325152137285139
reduced,0.05,ninsclas_Medicare,0.041634709296227146
reduced,0.05,ninsclas_Medicare & Medicaid,0.012938795243091251
reduced,0.05,ninsclas_No insurance,0.0007673162793538214
reduced,0.05,ninsclas_Private,0.02331633552699142
reduced,0.05,ninsclas_Private & Medicare,0.020784951350477362
reduced,0.05,resp_Yes,0.009922125195163532
reduced,0.05,card_Yes,0.02079251819606124
reduced,0.05,neuro_Yes,0.05026606571969811
reduced,0.05,gastr_Yes,0.0047389983900737835
reduced,0.05,renal_Yes,0.010327599733180742
reduced,0.05,meta_Yes,0.0064524755715860875
reduced,0.05,hema_Yes,0.012018219471228686
reduced,0.05,seps_Yes,0.028786051466143697
reduced,0.05,trauma_Yes,0.013727665198615695
reduced,0.05,ortho_Yes,0.00557586697999467
reduced,0.05,race_other,0.009114815889841432
reduced,0.05,race_white,0.005249401850001939
reduced,0.05,income_$25-$50k,0.025980107352426427
reduced,0.05,income_> $50k,0.004474426390260949
reduced,0.05,income_Under $11k,0.002050658017803587
